2026-05-06 00:00:47.282 | INFO     | Backtest   | [回测 4/5] 模拟第 3631/4821 笔交易: 建元信托...
2026-05-06 00:00:47.498 | INFO     | Backtest   | [回测 4/5] 模拟第 3641/4821 笔交易: 通裕重工...
2026-05-06 00:00:47.750 | INFO     | Backtest   | [回测 4/5] 模拟第 3651/4821 笔交易: 中国核建...
2026-05-06 00:00:47.889 | INFO     | Backtest   | [回测 4/5] 模拟第 3661/4821 笔交易: 海鸥股份...
2026-05-06 00:00:48.082 | INFO     | Backtest   | [回测 4/5] 模拟第 3671/4821 笔交易: 新农开发...
2026-05-06 00:00:48.283 | INFO     | Backtest   | [回测 4/5] 模拟第 3681/4821 笔交易: 华东数控...
2026-05-06 00:00:48.505 | INFO     | Backtest   | [回测 4/5] 模拟第 3691/4821 笔交易: 派斯林...
2026-05-06 00:00:48.694 | INFO     | Backtest   | [回测 4/5] 模拟第 3701/4821 笔交易: 华强科技...
2026-05-06 00:00:48.914 | INFO     | Backtest   | [回测 4/5] 模拟第 3711/4821 笔交易: 天晟新材...
2026-05-06 00:00:49.144 | INFO     | Backtest   | [回测 4/5] 模拟第 3721/4821 笔交易: 易成新能...
2026-05-06 00:00:49.359 | INFO     | Backtest   | [回测 4/5] 模拟第 3731/4821 笔交易: 豆神教育...
2026-05-06 00:00:49.579 | INFO     | Backtest   | [回测 4/5] 模拟第 3741/4821 笔交易: 维业股份...
2026-05-06 00:00:49.835 | INFO     | Backtest   | [回测 4/5] 模拟第 3751/4821 笔交易: 建研设计...
2026-05-06 00:00:50.063 | INFO     | Backtest   | [回测 4/5] 模拟第 3761/4821 笔交易: 辉煌科技...
2026-05-06 00:00:50.219 | INFO     | Backtest   | [回测 4/5] 模拟第 3771/4821 笔交易: 和仁科技...
2026-05-06 00:00:50.405 | INFO     | Backtest   | [回测 4/5] 模拟第 3781/4821 笔交易: 麦迪科技...
2026-05-06 00:00:50.617 | INFO     | Backtest   | [回测 4/5] 模拟第 3791/4821 笔交易: 仁东控股...
